Disease, Medication
"Fungal infection,""['Противогрибковый крем', 'Флуконазол', 'Тербинафин', 'Клотримазол', 'Кетоконазол']"""
"Hepatitis C,""['Противовирусные препараты', 'Внутривенные жидкости', 'Переливание крови', 'Переливание тромбоцитов', 'Пересадка печени']"""
"Hepatitis D,""['Противовирусные препараты', 'Внутривенные жидкости', 'Переливание крови', 'Переливание тромбоцитов', 'Пересадка печени']"""
"Hepatitis E,""['Отказ от алкоголя', 'Кортикостероиды', 'Внутривенные жидкости', 'Пересадка печени', 'Питательная поддержка']"""
"Alcoholic hepatitis,""['Антибиотики', 'Изониазид', 'Рифампицин', 'Этамбутол', 'Пиразинамид']"""
"Tuberculosis,""['Жаропонижающие', 'Сосудосуживающие средства', 'Противокашлевые препараты', 'Антигистамины', 'Обезболивающие']"""
"Common Cold,""['Антибиотики', 'Противовирусные препараты', 'Противогрибковые препараты', 'Внутривенные жидкости', 'Кислородотерапия']"""
"Pneumonia,""['Слабительные', 'Обезболивающие', 'Тёплые ванны', 'Холодные компрессы', 'Питание с высоким содержанием клетчатки']"""
"Dimorphic hemmorhoids(piles),""['Нитроглицерин', 'Аспирин', 'Бета-блокаторы', 'Блокаторы кальциевых каналов', 'Тромболитические препараты']"""
"Heart attack,""['Компрессионные чулки', 'Физические упражнения', 'Подъём ног', 'Склеротерапия', 'Лазерное лечение']"""
"Varicose veins,""['Левотироксин', 'Противотиреоидные препараты', 'Бета-блокаторы', 'Радиоактивный йод', 'Операция на щитовидной железе']"""
"Hypothyroidism,""['Противотиреоидные препараты', 'Радиоактивный йод', 'Операция на щитовидной железе', 'Бета-блокаторы', 'Кортикостероиды']"""
"Hyperthyroidism,""['Глюкозные таблетки', 'Конфеты или сок', 'Инъекция глюкагона', 'Внутривенный декстроз', 'Диазоксид']"""
"Hypoglycemia,""['Обезболивающие', 'Физические упражнения', 'Горячие и холодные компрессы', 'Защита суставов', 'Физиотерапия']"""
"Osteoarthristis,""['НПВП', 'Базисные противоревматические препараты (DMARDs)', 'Биологические препараты', 'Кортикостероиды', 'Эндопротезирование']"""
"Arthritis,""['Вестибулярная реабилитация', 'Перемещение отолитов', 'Препараты от тошноты', 'Хирургическое вмешательство', 'Домашние упражнения']"""
"(vertigo) Paroymsal Positional Vertigo,""['Местное лечение', 'Антибиотики', 'Пероральные препараты', 'Гормональная терапия', 'Изотретиноин']"""
"Acne,""['Антибиотики', 'Обезболивающие', 'Антигистаминные препараты', 'Кортикостероиды', 'Местные средства']"""
"Urinary tract infection,""['Антибиотики', 'Обезболивающие для мочевыводящих путей', 'Феназопиридин', 'Спазмолитики', 'Пробиотики']"""
"Psoriasis,""['Местные препараты', 'Фототерапия', 'Системные препараты', 'Биологические средства', 'Дёготь']"""
"Impetigo,""['Местные антибиотики', 'Пероральные антибиотики', 'Антисептики', 'Мази', 'Тёплые компрессы']"""
