Disease,Workout
Hepatitis D, "['Придерживаться сбалансированной и питательной диеты', 'Соблюдать водный баланс', 'Включать белковые продукты', 'Употреблять богатые питательными веществами продукты', 'Ограничить жирные продукты', 'Избегать алкоголя и кофеина', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Hepatitis E, "['Соблюдать водный баланс', 'Употреблять богатые питательными веществами продукты', 'Включать белковые продукты', 'Употреблять легкоусвояемую пищу', 'Ограничить жирные продукты', 'Избегать алкоголя и кофеина', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Alcoholic hepatitis, "['Избегать употребления алкоголя', 'Придерживаться сбалансированной и питательной диеты', 'Соблюдать водный баланс', 'Употреблять богатые питательными веществами продукты', 'Включать белковые продукты', 'Ограничить жирные продукты', 'Включать антиоксиданты', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Tuberculosis, "['Придерживаться высокобелковой диеты', 'Включать богатые питательными веществами продукты', 'Соблюдать водный баланс', 'Употреблять продукты богатые витаминами A и C', 'Включать продукты богатые цинком', 'Ограничить сахаристые продукты и напитки', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону', 'Следовать медицинским рекомендациям']"  
Common Cold, "['Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Употреблять продукты богатые витамином C и антиоксидантами', 'Включать продукты богатые цинком', 'Ограничить сахаристые продукты и напитки', 'Употреблять куриный бульон', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону', 'Следовать медицинским рекомендациям']"  
Pneumonia, "['Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Употреблять продукты богатые витамином C и антиоксидантами', 'Включать продукты богатые цинком', 'Ограничить сахаристые продукты и напитки', 'Употреблять куриный бульон', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону', 'Следовать медицинским рекомендациям']"  
Dimorphic hemmorhoids(piles), "['Употреблять продукты с высоким содержанием клетчатки', 'Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Употреблять продукты богатые флавоноидами', 'Ограничить обработанные продукты', 'Избегать острой и жирной пищи', 'Консультироваться с врачом', 'Соблюдать гигиену', 'Постепенно возвращаться к обычному рациону', 'Следовать медицинским рекомендациям']"  
Heart attack, "['Придерживаться диеты полезной для сердца', 'Ограничить потребление натрия', 'Включать продукты с высоким содержанием клетчатки', 'Употреблять полезные жиры', 'Включать нежирные белки', 'Ограничить сахаристые продукты и напитки', 'Соблюдать водный баланс', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Регулярно заниматься физической активностью']"  
Varicose veins, "['Придерживаться диеты с высоким содержанием клетчатки', 'Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Употреблять продукты богатые антиоксидантами', 'Ограничить потребление натрия', 'Включать продукты богатые флавоноидами', 'Избегать длительного стояния или сидения', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Регулярно заниматься физической активностью']"  
Hypothyroidism, "['Включать продукты богатые йодом', 'Употреблять продукты богатые селеном', 'Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Ограничить обработанные продукты', 'Употреблять продукты богатые витаминами B и D', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Поддерживать стабильный вес', 'Регулярно заниматься физической активностью']"  
Hyperthyroidism, "['Ограничить потребление йода', 'Умеренно употреблять крестоцветные овощи', 'Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Ограничить кофеин и алкоголь', 'Включать омега-3 жирные кислоты', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Поддерживать стабильный вес', 'Регулярно заниматься физической активностью']"  
Hypoglycemia, "['Употреблять сложные углеводы', 'Включать белковые продукты', 'Соблюдать водный баланс', 'Ограничить сахаристые продукты и напитки', 'Питаться регулярно небольшими порциями', 'Консультироваться с врачом', 'Мониторить уровень сахара в крови', 'Следовать медицинским рекомендациям', 'Регулярно заниматься физической активностью', 'Ограничить потребление алкоголя']"  
Osteoarthristis, "['Употреблять противовоспалительные продукты', 'Включать омега-3 жирные кислоты', 'Употреблять продукты богатые антиоксидантами', 'Соблюдать водный баланс', 'Ограничить обработанные продукты', 'Включать продукты богатые витамином K', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Заниматься низкоударными упражнениями', 'Поддерживать здоровый вес']"  
Arthritis, "['Употреблять противовоспалительные продукты', 'Включать омега-3 жирные кислоты', 'Употреблять продукты богатые антиоксидантами', 'Соблюдать водный баланс', 'Ограничить обработанные продукты', 'Включать продукты богатые витамином K', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Заниматься низкоударными упражнениями', 'Поддерживать здоровый вес']"  
(vertigo) Paroymsal Positional Vertigo, "['Избегать триггерных продуктов (кофеин и алкоголь)', 'Ограничить потребление натрия', 'Соблюдать водный баланс', 'Употреблять имбирь и гинкго билоба', 'Ограничить искусственные подсластители', 'Консультироваться с врачом', 'Избегать резких движений головой', 'Следовать медицинским рекомендациям', 'Управлять стрессом', 'Ограничить кофеин и стимуляторы']"  
Acne, "['Придерживаться сбалансированной диеты', 'Ограничить молочные продукты и продукты с высоким гликемическим индексом', 'Включать антиоксиданты', 'Соблюдать водный баланс', 'Ограничить обработанные продукты', 'Включать продукты богатые цинком', 'Консультироваться с дерматологом', 'Соблюдать гигиену кожи', 'Ограничить сахаристые продукты и напитки', 'Следовать медицинским рекомендациям']"  
Urinary tract infection, "['Соблюдать водный баланс', 'Употреблять клюквенные продукты', 'Включать продукты богатые витамином C', 'Ограничить кофеин и алкоголь', 'Употреблять пробиотики', 'Избегать острой и кислой пищи', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Соблюдать гигиену', 'Ограничить сахаристые продукты и напитки']"  
Psoriasis, "['Употреблять противовоспалительные продукты', 'Включать омега-3 жирные кислоты', 'Включать аналоги витамина D', 'Ограничить потребление алкоголя', 'Соблюдать водный баланс', 'Консультироваться с врачом', 'Ограничить обработанные продукты', 'Следовать медицинским рекомендациям', 'Управлять стрессом', 'Рассмотреть фототерапию под медицинским наблюдением']"  
Impetigo, "['Соблюдать гигиену', 'Соблюдать водный баланс', 'Употреблять богатые питательными веществами продукты', 'Ограничить сахаристые продукты и напитки', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Следовать медицинским рекомендациям', 'Избегать расчесывания', 'Принимать назначенные антибиотики', 'Ухаживать за ранами']"  
